center_x,center_y,left_distance,right_distance
8.215330144644454435e+00,1.626657461990763665e+01,8.000000000000000444e-01,1.450000000000000178e+00
8.167889742908217343e+00,1.626946376611407175e+01,9.000000000000000222e-01,1.450000000000000178e+00
8.120734804085257608e+00,1.627032081924310702e+01,8.000000000000000444e-01,1.625000000000000000e+00
8.082189838510517532e+00,1.625223902169305390e+01,8.000000000000000444e-01,1.400000000000000133e+00
8.035447206958167499e+00,1.623187487398827500e+01,8.000000000000000444e-01,1.425000000000000044e+00
7.989018613107644384e+00,1.621768594304688449e+01,8.000000000000000444e-01,1.375000000000000000e+00
7.942839889179528434e+00,1.619284180196421730e+01,8.250000000000000666e-01,1.250000000000000000e+00
7.897034211610487020e+00,1.617415710872726109e+01,7.750000000000000222e-01,1.250000000000000000e+00
7.851552617678589918e+00,1.614478287799012080e+01,8.000000000000000444e-01,1.150000000000000133e+00
7.806427438401611241e+00,1.612168889449804254e+01,7.500000000000000000e-01,1.100000000000000089e+00
7.761798366698768881e+00,1.608814858370748624e+01,8.000000000000000444e-01,1.025000000000000133e+00
7.717628309371632689e+00,1.605266801427186252e+01,7.500000000000000000e-01,1.000000000000000000e+00
7.674061233384303904e+00,1.601536723399028617e+01,7.750000000000000222e-01,9.500000000000000666e-01
7.631058972362545489e+00,1.597630128723685061e+01,7.750000000000000222e-01,9.250000000000000444e-01
7.588652985270959661e+00,1.593571054451486901e+01,8.250000000000000666e-01,9.000000000000000222e-01
7.546969430642880283e+00,1.589373492564092061e+01,8.250000000000000666e-01,8.500000000000000888e-01
7.505945646547878880e+00,1.585051540929295477e+01,7.500000000000000000e-01,9.000000000000000222e-01
7.474091429364421835e+00,1.580611369468417493e+01,7.750000000000000222e-01,8.500000000000000888e-01
7.434514205044360224e+00,1.576068606118706050e+01,7.750000000000000222e-01,8.250000000000000666e-01
7.395624655557849536e+00,1.571453069077237252e+01,8.000000000000000444e-01,8.000000000000000444e-01
7.365819955951827147e+00,1.566773357400631639e+01,7.750000000000000222e-01,8.250000000000000666e-01
7.328352572365901096e+00,1.562030022485707548e+01,7.750000000000000222e-01,8.250000000000000666e-01
7.299903557237261253e+00,1.557240842507286516e+01,7.750000000000000222e-01,8.250000000000000666e-01
7.263609172039114270e+00,1.552404756552650156e+01,8.000000000000000444e-01,8.000000000000000444e-01
7.227916124589353508e+00,1.547537832383144263e+01,8.000000000000000444e-01,8.250000000000000666e-01
7.201089773581930586e+00,1.542637218025722134e+01,7.500000000000000000e-01,8.000000000000000444e-01
7.166258422181135401e+00,1.537717205974371026e+01,8.000000000000000444e-01,8.000000000000000444e-01
7.140268040419573303e+00,1.532781047652795259e+01,8.000000000000000444e-01,8.000000000000000444e-01
7.106172131759578292e+00,1.527831581778018943e+01,7.750000000000000222e-01,8.250000000000000666e-01
7.072417675481498911e+00,1.522871285003483166e+01,8.000000000000000444e-01,8.000000000000000444e-01
