x,y,velocity
9.499999999999999556e-01,2.040000000000000213e+01,6.000000000000000000e+00
9.499999999999999556e-01,2.035000000000000142e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.030000000000000071e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.025000000000000000e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.020000000000000284e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.015000000000000213e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.010000000000000142e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.005000000000000071e+01,5.999999999999999112e+00
9.499999999999999556e-01,2.000000000000000000e+01,5.999999999999999112e+00
9.499999999999999556e-01,1.995000000000000284e+01,5.999999999999999112e+00
9.499999999999999556e-01,1.990000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.985000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.980000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.975000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.970000000000000284e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.965000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.960000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.955000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.950000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.945000000000000284e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.940000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.935000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.930000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.925000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.920000000000000284e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.915000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.910000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.905000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.900000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.894999999999999929e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.890000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.885000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.880000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.875000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.869999999999999929e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.865000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.860000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.855000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.850000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.844999999999999929e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.840000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.835000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.830000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.825000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.819999999999999929e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.815000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.810000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.805000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.800000000000000000e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.794999999999999929e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.790000000000000213e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.785000000000000142e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.780000000000000071e+01,5.999999999999999112e+00
9.500000000000000666e-01,1.775000000000000000e+01,5.999999999999999112e+00
9.500000000000001776e-01,1.769999999999999929e+01,5.999999999999999112e+00
9.500000000000001776e-01,1.765000000000000213e+01,5.999999999999999112e+00
9.500000000000001776e-01,1.760000000000000142e+01,5.999999999999999112e+00
9.500000000000002887e-01,1.755000000000000071e+01,5.999999999999999112e+00
9.500000000000009548e-01,1.750000000000000000e+01,5.999999999999999112e+00
9.500000000000033973e-01,1.744999999999999929e+01,5.999999999999999112e+00
9.500000000000121680e-01,1.740000000000000213e+01,5.999999999999999112e+00
9.500000000000422551e-01,1.735000000000000142e+01,5.999999999999999112e+00
9.500000000001409539e-01,1.730000000000000071e+01,5.999999999999999112e+00
9.500000000004518164e-01,1.725000000000000000e+01,5.999999999999999112e+00
9.500000000013932855e-01,1.719999999999999929e+01,5.999999999999999112e+00
9.500000000041393111e-01,1.715000000000000213e+01,5.999999999999999112e+00
