33,42
31,46
30,50
29,55
28,59
28,64
27,69
26,74
26,79
25,83
24,88
24,93
23,97
22,102
22,107
21,112
20,116
20,121
19,126
19,131
18,135
17,140
17,145
16,149
15,154
15,159
15,164
16,168
21,169
26,169
30,170
35,171
39,171
44,172
49,173
54,174
58,174
63,175
68,176
72,177
77,178
82,178
86,179
91,179
96,180
101,181
106,181
110,182
115,182
120,183
124,183
129,184
134,185
139,186
144,186
148,187
153,188
158,188
162,189
167,190
172,190
177,191
181,191
186,192
191,193
196,193
200,194
205,195
210,195
214,196
219,197
224,198
228,198
233,199
238,200
242,201
247,201
252,202
257,203
261,204
266,204
271,205
275,206
280,207
284,207
289,208
294,209
299,210
304,210
308,211
313,212
317,213
322,214
327,215
331,216
333,212
334,207
335,203
335,198
336,193
337,188
337,183
338,179
339,174
339,170
340,165
341,160
342,156
343,151
344,146
345,142
346,137
346,132
347,128
347,123
348,118
349,113
350,109
350,104
351,99
352,95
352,90
349,87
344,87
340,86
335,85
330,84
326,83
321,82
316,82
312,81
307,81
302,80
297,80
292,79
287,79
283,78
278,78
273,77
268,76
264,76
259,75
254,74
250,74
245,73
240,73
235,72
230,72
226,71
221,70
216,70
212,69
207,68
202,67
198,66
197,69
196,74
196,79
195,83
195,88
195,93
194,98
192,103
189,106
184,107
180,106
175,105
172,101
171,97
172,92
173,87
173,83
174,78
175,73
175,68
176,64
171,63
166,63
162,62
157,61
152,60
147,60
143,59
138,58
133,57
129,57
124,56
119,55
114,55
110,54
105,53
100,53
96,52
91,51
86,51
81,50
77,49
72,48
67,48
63,47
58,46
54,45
49,44
44,43
39,43
35,42
