95,72
99,72
103,73
107,76
109,80
109,85
109,90
109,95
108,100
107,104
112,104
117,105
122,105
127,106
131,107
136,108
140,109
145,110
150,110
154,111
159,111
164,112
169,112
174,113
178,113
183,114
188,115
193,115
197,116
202,116
207,117
212,117
217,118
221,119
226,120
231,120
235,121
240,121
245,122
250,122
254,123
259,124
264,124
265,120
265,115
266,110
267,106
268,101
271,98
276,96
280,97
284,98
287,102
289,107
288,111
287,116
286,120
286,125
285,130
284,135
283,140
283,144
282,149
281,153
280,158
280,163
278,167
276,171
273,175
269,178
264,179
259,179
254,178
250,178
245,178
240,178
235,176
231,175
227,172
223,168
221,164
220,160
220,155
220,150
221,145
220,141
215,140
210,140
206,139
201,138
196,138
192,137
187,136
182,136
177,135
172,134
168,134
163,133
158,133
154,132
149,131
144,131
139,130
137,132
136,136
135,141
134,146
133,150
131,154
127,158
123,159
118,160
113,160
108,159
103,158
99,158
94,157
90,156
85,154
82,151
80,147
78,142
78,137
79,133
80,128
81,124
82,119
82,114
83,109
83,105
84,100
85,95
85,91
86,86
86,81
87,76
90,73
