x,y,type
8.8023,1.16815,left_edge
9.10743,0.922375,left_edge
9.27743,0.702102,left_edge
9.42923,0.510325,left_edge
9.55906,0.293628,left_edge
9.67145,0.00887708,left_edge
9.69257,-0.407765,left_edge
9.45206,-0.800137,left_edge
9.184,-1.10382,left_edge
9.01229,-1.29523,left_edge
8.88894,-1.43291,left_edge
8.77167,-1.51922,left_edge
8.66089,-1.57003,left_edge
8.58656,-1.63265,left_edge
8.5228,-1.72451,left_edge
8.42218,-1.7822,left_edge
8.31448,-1.84428,left_edge
8.18563,-1.89847,left_edge
8.06999,-1.96059,left_edge
7.96834,-2.04247,left_edge
7.83872,-2.09835,left_edge
7.72486,-2.18698,left_edge
7.59081,-2.24512,left_edge
7.47917,-2.29775,left_edge
7.38699,-2.333,left_edge
7.29474,-2.37275,left_edge
7.20131,-2.41806,left_edge
7.13466,-2.4841,left_edge
7.03999,-2.52525,left_edge
6.93278,-2.57606,left_edge
6.82768,-2.6304,left_edge
6.72938,-2.70292,left_edge
6.62945,-2.75351,left_edge
6.55418,-2.80035,left_edge
6.46992,-2.85879,left_edge
6.34694,-2.92075,left_edge
6.19195,-2.95431,left_edge
6.05334,-3.04836,left_edge
5.88658,-3.1444,left_edge
5.63425,-3.25605,left_edge
5.24129,-3.26796,left_edge
4.85142,-3.07879,left_edge
4.57279,-2.76561,left_edge
4.37746,-2.50227,left_edge
4.19319,-2.36416,left_edge
4.10179,-2.19686,left_edge
3.99971,-2.066,left_edge
3.92333,-1.94411,left_edge
3.86491,-1.83232,left_edge
3.81201,-1.72801,left_edge
3.76112,-1.62665,left_edge
3.71087,-1.52625,left_edge
3.64247,-1.43532,left_edge
3.59228,-1.33496,left_edge
3.55917,-1.22245,left_edge
3.50459,-1.10905,left_edge
3.48278,-0.96565,left_edge
3.44473,-0.814441,left_edge
3.35742,-0.688747,left_edge
3.29145,-0.589998,left_edge
3.24645,-0.510187,left_edge
3.19644,-0.428056,left_edge
3.14538,-0.339271,left_edge
3.07879,-0.274307,left_edge
3.02678,-0.190695,left_edge
2.98012,-0.0958369,left_edge
2.92622,-0.0219983,left_edge
2.88798,0.0486843,left_edge
2.85792,0.0996013,left_edge
2.83153,0.159277,left_edge
2.77606,0.231509,left_edge
2.72735,0.323843,left_edge
2.68787,0.412155,left_edge
2.64989,0.497481,left_edge
2.59654,0.57084,left_edge
2.59351,0.630701,left_edge
2.55444,0.663053,left_edge
2.53427,0.703493,left_edge
2.51469,0.777644,left_edge
2.46497,0.869419,left_edge
2.4392,0.968195,left_edge
2.35793,1.02208,left_edge
2.31887,1.09049,left_edge
2.28885,1.1466,left_edge
2.26564,1.22632,left_edge
2.21342,1.32284,left_edge
2.1618,1.42316,left_edge
2.11112,1.52359,left_edge
2.06104,1.62347,left_edge
2.0335,1.73117,left_edge
1.94894,1.79832,left_edge
1.90704,1.87326,left_edge
1.86636,1.94532,left_edge
1.85,2.02302,left_edge
1.79423,2.09128,left_edge
1.75842,2.18192,left_edge
1.71754,2.29157,left_edge
1.63907,2.40386,left_edge
1.60437,2.51665,left_edge
1.53022,2.62271,left_edge
1.48116,2.74379,left_edge
1.41974,2.89778,left_edge
1.3548,3.07344,left_edge
2.34776,2.74726,right_edge
2.51904,2.94905,right_edge
2.64564,3.04958,right_edge
2.70831,3.14595,right_edge
2.79268,3.16414,right_edge
2.91791,3.21225,right_edge
3.06805,3.16699,right_edge
3.0187,3.17068,right_edge
3.08961,3.23265,right_edge
3.30513,3.15076,right_edge
3.42044,3.06598,right_edge
3.4914,3.01941,right_edge
3.53258,2.9657,right_edge
3.58117,2.89818,right_edge
3.61842,2.817,right_edge
3.63544,2.75173,right_edge
3.66853,2.69052,right_edge
3.71088,2.61913,right_edge
3.74819,2.53077,right_edge
3.81134,2.44647,right_edge
3.85894,2.36992,right_edge
3.9092,2.28189,right_edge
3.97329,2.17066,right_edge
4.05627,2.06469,right_edge
4.12061,1.95452,right_edge
4.17282,1.82232,right_edge
4.26139,1.71011,right_edge
4.32565,1.61049,right_edge
4.37613,1.53057,right_edge
4.42923,1.45283,right_edge
4.46755,1.36885,right_edge
4.48246,1.30689,right_edge
4.50614,1.26016,right_edge
4.53461,1.20653,right_edge
4.57096,1.13756,right_edge
4.61797,1.06108,right_edge
4.67383,1.00551,right_edge
4.68483,0.951735,right_edge
4.70688,0.90849,right_edge
4.73483,0.856036,right_edge
4.77152,0.786563,right_edge
4.82269,0.70406,right_edge
4.89536,0.626623,right_edge
4.94997,0.517468,right_edge
5.03796,0.381727,right_edge
5.17304,0.213158,right_edge
5.34208,-0.0292377,right_edge
5.53848,-0.298674,right_edge
5.68096,-0.487204,right_edge
5.97868,-0.661486,right_edge
6.34184,-0.656436,right_edge
6.56628,-0.54649,right_edge
6.75437,-0.442661,right_edge
6.90349,-0.348707,right_edge
7.0441,-0.257257,right_edge
7.17563,-0.23237,right_edge
7.25959,-0.181473,right_edge
7.32564,-0.119236,right_edge
7.39938,-0.10626,right_edge
7.44702,-0.0610188,right_edge
7.52489,-0.070909,right_edge
7.57979,-0.0153845,right_edge
7.64014,0.0409263,right_edge
7.72371,0.0653018,right_edge
7.81001,0.109487,right_edge
7.91442,0.110017,right_edge
7.99557,0.137671,right_edge
8.08822,0.15093,right_edge
8.20598,0.136791,right_edge
8.26765,0.0892226,right_edge
8.29752,0.152507,right_edge
8.41824,0.090049,right_edge
8.52622,0.0357559,right_edge
8.55215,-0.0116558,right_edge
8.57181,-0.10559,right_edge
8.594,-0.212712,right_edge
8.60752,-0.227031,right_edge
8.65066,-0.380696,right_edge
8.54442,-0.623255,right_edge
8.44191,-0.748712,right_edge
8.36326,-0.79117,right_edge
8.30925,-0.830496,right_edge
8.2441,-0.887177,right_edge
8.15101,-0.926623,right_edge
8.05247,-0.936108,right_edge
7.96478,-0.986231,right_edge
7.85364,-1.0503,right_edge
7.74768,-1.13327,right_edge
7.63759,-1.19757,right_edge
7.50543,-1.24969,right_edge
7.38877,-1.34015,right_edge
7.25712,-1.39704,right_edge
7.14834,-1.48253,right_edge
7.04657,-1.55099,right_edge
6.95708,-1.62352,right_edge
6.884,-1.68625,right_edge
6.80312,-1.74167,right_edge
6.70277,-1.77583,right_edge
6.63604,-1.83473,right_edge
6.56265,-1.88393,right_edge
6.47583,-1.9288,right_edge
6.38416,-1.9486,right_edge
6.31089,-1.9719,right_edge
6.22189,-1.98871,right_edge
6.11646,-2.01153,right_edge
6.01356,-2.04167,right_edge
5.91206,-2.09894,right_edge
5.78237,-2.08578,right_edge
5.61472,-2.07852,right_edge
5.44455,-2.07114,right_edge
5.44519,-2.08541,right_edge
5.3949,-2.10487,right_edge
5.14273,-2.04592,right_edge
4.93085,-1.93855,right_edge
4.87258,-1.80954,right_edge
4.79027,-1.73408,right_edge
4.74117,-1.62436,right_edge
4.69455,-1.5265,right_edge
4.64472,-1.43097,right_edge
4.59502,-1.33294,right_edge
4.54516,-1.23361,right_edge
4.4952,-1.13381,right_edge
4.46355,-1.0247,right_edge
4.41372,-0.925044,right_edge
4.34684,-0.836753,right_edge
4.30061,-0.740875,right_edge
4.21474,-0.642798,right_edge
4.12667,-0.505431,right_edge
4.07764,-0.340482,right_edge
4.02487,-0.202343,right_edge
3.96277,-0.0917887,right_edge
3.91049,-0.00580204,right_edge
3.86088,0.0805347,right_edge
3.82728,0.182793,right_edge
3.77924,0.259844,right_edge
3.72668,0.337118,right_edge
3.68826,0.421417,right_edge
3.65261,0.478246,right_edge
3.61902,0.544637,right_edge
3.56496,0.61411,right_edge
3.53519,0.67991,right_edge
3.51231,0.715035,right_edge
3.48962,0.767669,right_edge
3.45421,0.84712,right_edge
3.4416,0.929532,right_edge
3.39098,0.995689,right_edge
3.37558,1.07357,right_edge
3.33938,1.1446,right_edge
3.28005,1.20591,right_edge
3.23755,1.28451,right_edge
3.16661,1.367,right_edge
3.15628,1.47532,right_edge
3.12165,1.53583,right_edge
3.08808,1.59827,right_edge
3.03004,1.6563,right_edge
2.98935,1.73164,right_edge
2.94327,1.82125,right_edge
2.89463,1.91766,right_edge
2.84489,2.01687,right_edge
2.77248,2.10811,right_edge
2.75785,2.23243,right_edge
2.70744,2.32288,right_edge
2.67503,2.37987,right_edge
2.63542,2.41328,right_edge
2.63604,2.45753,right_edge
2.6161,2.50929,right_edge
2.58569,2.59007,right_edge
2.59884,2.68465,right_edge
2.58005,2.77106,right_edge
2.59979,2.87963,right_edge
2.59252,3.00499,right_edge
2.57546,3.17813,right_edge
2.5512,3.36656,right_edge
