x,y,left_distance,right_distance
2.45297,1.82017,0.738241,0.738241
2.40299,1.91964,0.715891,0.715891
2.3534,2.01537,0.761577,0.761577
2.30724,2.09807,0.761577,0.761577
2.2707,2.16259,0.761577,0.761577
2.24271,2.21815,0.738241,0.738241
2.21514,2.2744,0.761577,0.761577
2.18726,2.3456,0.761577,0.761577
2.15162,2.44082,0.761577,0.761577
2.11896,2.54425,0.764853,0.764853
2.09221,2.64386,0.801561,0.801561
2.065,2.75117,0.8,0.8
2.03684,2.87439,0.855862,0.855862
1.9976,3.03796,0.894427,0.894427
1.953,3.22,0.917878,0.917878
