5.183,4.572,3.359
4.984,4.598,3.417
4.785,4.607,3.500
4.585,4.601,3.598
4.386,4.582,3.709
4.189,4.550,3.829
3.993,4.508,3.959
3.800,4.456,4.100
3.609,4.396,4.254
3.421,4.330,4.423
3.234,4.258,4.609
3.049,4.183,4.814
2.865,4.105,5.000
2.681,4.025,5.000
2.498,3.945,5.000
2.315,3.866,5.000
2.130,3.788,4.858
1.945,3.714,4.675
1.757,3.645,4.516
1.568,3.581,4.379
1.376,3.524,4.266
1.182,3.475,4.180
0.986,3.436,4.126
0.788,3.408,4.117
0.589,3.392,4.116
0.389,3.391,4.114
0.190,3.404,4.112
-0.009,3.430,4.110
-0.205,3.467,4.152
-0.399,3.514,4.235
-0.591,3.569,4.353
-0.782,3.631,4.499
-0.970,3.699,4.675
-1.157,3.770,4.879
-1.343,3.843,5.000
-1.528,3.918,5.000
-1.714,3.992,4.892
-1.900,4.064,4.657
-2.088,4.134,4.446
-2.277,4.198,4.256
-2.468,4.257,4.084
-2.661,4.308,3.927
-2.857,4.349,3.783
-3.054,4.380,3.651
-3.253,4.399,3.532
-3.453,4.403,3.429
-3.653,4.392,3.348
-3.851,4.363,3.304
-4.044,4.314,3.302
-4.232,4.244,3.301
-4.409,4.153,3.299
-4.574,4.040,3.298
-4.725,3.909,3.296
-4.859,3.761,3.295
-4.978,3.600,3.307
-5.080,3.428,3.346
-5.166,3.248,3.405
-5.235,3.060,3.467
-5.289,2.868,3.533
-5.327,2.672,3.602
-5.350,2.473,3.672
-5.359,2.273,3.741
-5.354,2.073,3.814
-5.337,1.874,3.886
-5.306,1.677,3.946
-5.263,1.482,3.991
-5.208,1.289,4.024
-5.141,1.101,4.048
-5.062,0.918,4.064
-4.971,0.740,4.073
-4.868,0.568,4.073
-4.755,0.403,4.072
-4.630,0.247,4.070
-4.495,0.099,4.068
-4.350,-0.038,4.066
-4.196,-0.165,4.064
-4.034,-0.283,4.078
-3.866,-0.390,4.119
-3.691,-0.488,4.174
-3.512,-0.576,4.239
-3.329,-0.656,4.311
-3.142,-0.727,4.389
-2.952,-0.790,4.472
-2.760,-0.845,4.558
-2.566,-0.893,4.649
-2.370,-0.934,4.744
-2.173,-0.968,4.843
-1.975,-0.997,4.947
-1.777,-1.020,5.000
-1.577,-1.038,5.000
-1.378,-1.051,5.000
-1.178,-1.060,5.000
-0.978,-1.066,5.000
-0.778,-1.069,5.000
-0.579,-1.068,5.000
-0.379,-1.066,5.000
-0.179,-1.062,5.000
0.021,-1.056,5.000
0.221,-1.050,5.000
0.421,-1.044,5.000
0.621,-1.037,5.000
0.821,-1.032,5.000
1.020,-1.028,5.000
1.220,-1.024,5.000
1.420,-1.021,5.000
1.620,-1.017,5.000
1.820,-1.012,5.000
2.020,-1.007,5.000
2.220,-0.999,5.000
2.419,-0.990,5.000
2.619,-0.978,5.000
2.818,-0.963,5.000
3.017,-0.944,5.000
3.216,-0.921,5.000
3.414,-0.894,5.000
3.611,-0.862,4.994
3.808,-0.824,4.887
4.003,-0.781,4.784
4.197,-0.731,4.684
4.388,-0.675,4.587
4.578,-0.612,4.492
4.765,-0.541,4.399
4.949,-0.462,4.311
5.129,-0.376,4.232
5.305,-0.280,4.161
5.475,-0.176,4.102
5.639,-0.062,4.059
5.796,0.062,4.041
5.945,0.195,4.039
6.084,0.339,4.037
6.213,0.492,4.035
6.329,0.655,4.034
6.433,0.825,4.032
6.526,1.003,4.030
6.605,1.186,4.028
6.672,1.374,4.026
6.727,1.566,4.010
6.770,1.762,3.980
6.801,1.959,3.925
6.819,2.158,3.869
6.824,2.358,3.813
6.815,2.558,3.757
6.793,2.757,3.700
6.756,2.953,3.643
6.704,3.146,3.584
6.637,3.334,3.526
6.555,3.517,3.468
6.457,3.691,3.417
6.345,3.856,3.378
6.217,4.010,3.365
6.074,4.150,3.363
5.918,4.274,3.362
5.748,4.379,3.360
5.567,4.464,3.359
5.377,4.528,3.357
