# x_m,y_m,w_tr_right_m,w_tr_left_m
4.618240,12.869678,0.825000,0.925000
4.573605,12.885243,0.800000,0.950000
4.530114,12.902425,0.850000,0.950000
4.487840,12.921330,0.850000,0.900000
4.446940,12.950283,0.825000,0.925000
4.407567,12.972493,0.825000,0.925000
4.369870,13.004692,0.800000,0.950000
4.334093,13.030157,0.800000,0.975000
4.300289,13.065658,0.800000,1.025000
4.268569,13.102736,0.825000,1.100000
4.247425,13.141319,0.800000,1.150000
4.220109,13.181247,0.800000,1.225000
4.203563,13.222522,0.825000,1.250000
4.180910,13.265034,0.850000,1.325000
4.168931,13.308667,0.950000,1.475000
4.159166,13.353228,0.925000,1.425000
4.151533,13.398703,2.850000,1.250000
4.154434,13.444975,2.800000,1.200000
4.150863,13.491937,0.800000,1.200000
4.149090,13.539489,0.800000,1.150000
4.149078,13.587463,0.750000,1.100000
4.150607,13.635880,0.800000,1.000000
4.162048,13.684585,0.750000,1.000000
4.166387,13.733614,0.700000,1.000000
4.172011,13.782827,0.700000,0.950000
4.178738,13.832195,0.700000,0.900000
4.186500,13.881692,0.700000,0.875000
4.203644,13.931295,0.675000,0.875000
4.213315,13.980985,0.700000,0.900000
4.223876,14.030745,0.750000,0.850000
4.235295,14.080560,0.750000,0.800000
4.247467,14.130419,0.725000,0.825000
4.268868,14.180312,0.725000,0.825000
4.282506,14.230232,0.775000,0.825000
4.296952,14.280172,0.800000,0.775000
4.320488,14.330127,0.750000,0.800000
4.336363,14.380093,0.800000,0.750000
4.361363,14.430068,0.750000,0.800000
4.378476,14.480050,0.800000,0.750000
4.404659,14.530036,0.750000,0.750000
4.422971,14.580026,0.800000,0.750000
4.450262,14.630018,0.750000,0.750000
4.469591,14.680013,0.775000,0.750000
4.497733,14.730009,0.750000,0.750000
4.517848,14.780006,0.775000,0.750000
4.546786,14.830004,0.825000,0.700000
4.567712,14.880002,0.775000,0.725000
4.597305,14.930001,0.775000,0.775000
4.618735,14.980000,0.775000,0.775000
4.648787,15.029999,0.775000,0.775000
4.670705,15.079997,0.775000,0.775000
4.701096,15.129995,0.750000,0.800000
4.731713,15.179993,0.775000,0.775000
