32,40
30,44
29,48
27,53
27,57
26,62
25,67
25,72
24,76
23,81
23,86
22,90
21,95
21,100
20,105
19,109
19,114
18,119
18,124
17,128
16,133
16,138
15,142
14,147
14,152
13,157
13,162
13,167
15,170
20,171
25,171
29,172
34,173
39,173
44,174
48,175
53,176
58,176
62,177
67,178
71,179
76,179
81,180
86,181
91,181
95,182
100,182
105,183
109,184
114,184
119,185
124,185
129,186
133,187
138,187
143,188
147,189
152,189
157,190
162,191
166,191
171,192
176,193
181,193
185,194
190,195
195,195
199,196
204,196
209,197
214,198
218,199
223,200
228,200
232,201
237,202
242,203
247,203
251,204
256,205
260,206
265,206
270,207
274,208
279,209
284,209
289,210
293,211
298,211
303,212
307,213
312,214
317,215
321,215
326,217
330,218
334,216
335,211
336,206
337,202
338,197
338,192
339,188
339,183
340,178
341,174
342,169
343,164
343,160
344,155
345,150
346,146
347,141
348,136
348,131
349,127
350,122
350,117
351,113
352,108
352,103
353,99
354,94
354,89
351,86
347,85
342,84
337,83
333,83
328,82
323,81
319,80
314,79
309,79
304,79
300,78
295,78
290,77
285,77
281,76
276,76
271,75
266,74
261,73
257,73
252,72
247,72
243,71
238,71
233,70
228,69
223,68
219,68
214,67
209,67
205,66
200,65
195,64
195,68
194,73
194,78
193,83
193,87
193,92
192,97
191,101
186,104
182,105
178,103
173,100
173,96
174,91
175,87
176,82
176,77
177,73
177,68
178,63
174,62
169,61
164,60
160,60
155,59
151,58
146,57
141,57
136,56
132,55
127,55
122,54
118,53
113,53
108,52
103,51
98,51
94,50
89,49
85,48
80,48
75,47
71,46
66,45
61,44
56,44
52,43
47,42
43,41
38,40
33,40
