timestamp,datetime,session_id,update_frequency,update_interval_mean,update_interval_std,position_variance_x,position_variance_y,position_variance_total,uncertainty_x,uncertainty_y,uncertainty_theta,uncertainty_total,total_distance,current_velocity,alignment_score_mean,alignment_score_std,obstacle_distance_mean,obstacle_distance_std,current_x,current_y,current_theta,collected_poses,collected_scans,alignment_analyses
1758353333.159166,2025-09-20T16:28:53.159166,20250920_162843,40.2494578136524,0.024845055171421597,0.009802381694898513,,,,0.2832895159371027,0.2605006781165774,0.18509773026100118,0.38485523660082194,0.29317024661479835,2.9096001670514746,,,,,-0.5361269958640077,1.4089372947678425,-0.8338651218636182,8,100,0
1758353343.2077367,2025-09-20T16:29:03.207737,20250920_162843,40.051331505212644,0.024967958927154543,0.011718321551055922,0.037044473620957113,0.013013295753681573,0.05005776937463868,0.047444452947844384,0.028948341232804584,0.043363034157329124,0.05557861617250931,5.620076298081734,0.7616845669473591,,,,,3.454641737153614,-0.2783565103775969,-0.23534232607941447,382,100,0
1758353353.1901662,2025-09-20T16:29:13.190166,20250920_162843,36.671468701281476,0.027269155979156495,0.020976766231930087,0.046902123296021454,0.00334012093579028,0.050242244231811735,0.09783056536993473,0.04050333585538171,0.05481474463239674,0.10588361410537006,10.864560512929673,0.8035014132683189,,,,,7.957135703958898,0.6104114636165072,-0.07415776491897735,773,100,0
1758353363.2367313,2025-09-20T16:29:23.236731,20250920_162843,30.106692999380464,0.03321520566940308,0.05393014201375546,0.18614104044996124,0.013543399357207477,0.1996844398071687,0.09333267498055273,0.06536012322951631,0.07232327970702149,0.11394267825359843,19.545251229770585,1.4234798333093486,,,,,15.691786355347572,-0.24945796867569137,0.30662938671013024,1000,100,0
1758353373.2052178,2025-09-20T16:29:33.205218,20250920_162843,40.12020650173808,0.02492509603500366,0.01603987035179318,0.003481461720303144,0.20305587265532618,0.20653733437562932,0.0352119686882133,0.14231548013408765,0.06923612375349697,0.14660688464289667,28.960433877638014,2.1289890368184956,,,,,17.131965129250357,5.417230737919906,0.6881255668463337,1000,100,0
1758353383.215395,2025-09-20T16:29:43.215395,20250920_162843,40.078591919617764,0.024950976371765136,0.009034849329854539,0.11698353188000764,0.009741560934200038,0.12672509281420768,0.12391134491409174,0.04754935129650042,0.07485808789306753,0.1327213705743616,38.24583489774908,1.5321481836449775,,,,,11.530685466802268,6.54739469134173,0.9991876759484334,1000,100,0
1758353393.2464767,2025-09-20T16:29:53.246477,20250920_162843,37.281562234896995,0.02682291030883789,0.019875938132677,0.009215194519096559,0.01653012784440623,0.02574532236350279,0.047099134268016554,0.044490971564604055,0.02132101628936506,0.06479023845888406,47.66817175642582,0.32492946050455945,,,,,3.172263191734813,7.329954829894916,-0.8936914258440903,1000,100,0
1758353403.2725914,2025-09-20T16:30:03.272591,20250920_162843,29.766284185100222,0.03359505653381348,0.06314427335667601,0.0022015064784910604,0.02243200907932608,0.02463351555781714,0.023376287026579682,0.05952684798955947,0.02479235956880661,0.06395229805660746,48.78050516278373,0.2932152140981331,,,,,2.7797684775975795,6.31576923052765,-0.7957581476774856,1000,100,0
1758353413.2597196,2025-09-20T16:30:13.259720,20250920_162843,38.818245029769145,0.0257610821723938,0.011529475005949103,0.0059009309511877635,0.2486416567344537,0.2545425876856415,0.04591790728506778,0.10789191422869387,0.03941905707237403,0.11725663889678876,60.08984889076633,0.5999596197650847,,,,,0.3725400993233128,2.279873468931606,0.7080205283434287,1000,100,0
1758353423.1950943,2025-09-20T16:30:23.195094,20250920_162843,39.93551367592232,0.025040369033813476,0.010264636090652732,0.33154998892224574,0.1172529026069527,0.44880289152919844,0.1368242361955537,0.08970211964342036,0.08542461375268061,0.1636072794194047,69.30782716570596,1.644240233252162,,,,,0.34599973685375424,0.079821146869406,0.9474207929936067,1000,100,0
