timestamp,datetime,session_id,x,y,z,yaw,cov_xx,cov_xy,cov_xz,cov_x_roll,cov_x_pitch,cov_x_yaw,cov_yy,cov_yz,cov_y_roll,cov_y_pitch,cov_y_yaw,cov_zz,cov_z_roll,cov_z_pitch,cov_z_yaw,cov_roll_roll,cov_roll_pitch,cov_roll_yaw,cov_pitch_pitch,cov_pitch_yaw,cov_yaw_yaw,uncertainty_x,uncertainty_y,uncertainty_yaw,uncertainty_total
1758362628.8535383,2025-09-20T19:03:48.853538,20250920_190339,0.5134891362176053,0.06822232948964548,0.0,0.24904588022512678,0.010321422140278548,0.0007858305876575745,0.0,0.0,0.0,0.0,0.00037096110850312256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001274449165838531,0.10159440014232353,0.019260350684842747,0.03569942808839563,0.10340398081689926
1758362628.8958375,2025-09-20T19:03:48.895838,20250920_190339,0.510393018586869,0.0685739728519778,0.0,0.2499088374909898,0.010510266621543553,0.0009437289001003981,0.0,0.0,0.0,0.0,0.0003866349679381861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012222313098338587,0.10251959140351445,0.01966303557282512,0.03496042490922927,0.10438822533926774
1758362628.9473605,2025-09-20T19:03:48.947361,20250920_190339,0.5134869550863493,0.0704638995990261,0.0,0.2511893339930817,0.0106565170570362,0.0009271620505111934,0.0,0.0,0.0,0.0,0.00035604514808620105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011969636620589724,0.1032304076182798,0.018869158648074404,0.03459716263017781,0.104940755691592
1758362628.955383,2025-09-20T19:03:48.955383,20250920_190339,0.5183004592572046,0.07041977131178014,0.0,0.25529704060914354,0.012128141420976287,0.0010317417386496413,0.0,0.0,0.0,0.0,0.00037804721164017116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009418404792847092,0.11012784126176399,0.019443436209687092,0.03068941966353729,0.11183107185669133
1758362629.0006633,2025-09-20T19:03:49.000663,20250920_190339,0.5142253286848698,0.07278994030347237,0.0,0.2589961037657282,0.012166697652048017,0.0011565208959787188,0.0,0.0,0.0,0.0,0.0004160663620660162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009620095907491857,0.11030275450798142,0.020397704823484828,0.03101627944723844,0.11217292014614771
1758362629.0281796,2025-09-20T19:03:49.028180,20250920_190339,0.5137307716377627,0.07293839501500357,0.0,0.2618341476681334,0.013500094157172357,0.001232283536289076,0.0,0.0,0.0,0.0,0.0004229819388814014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008469635533110551,0.11618990557347207,0.02056652471569763,0.029102638253448006,0.1179960850878272
1758362629.0422273,2025-09-20T19:03:49.042227,20250920_190339,0.512628786398046,0.07226533288229188,0.0,0.2638020710036773,0.013740776397904154,0.0012999804538449413,0.0,0.0,0.0,0.0,0.0004440084215029695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000795610863126745,0.11722105782624619,0.021071507338179904,0.02820657482089495,0.11909989428797627
1758362629.057829,2025-09-20T19:03:49.057829,20250920_190339,0.5143744161733864,0.07231567148556645,0.0,0.2634935855975175,0.013356052363865644,0.0012389282008472818,0.0,0.0,0.0,0.0,0.0004507086028487796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000834532554990751,0.11556838825503125,0.02122989879506682,0.028888277120499087,0.11750217430632687
1758362629.193676,2025-09-20T19:03:49.193676,20250920_190339,0.5150203637860788,0.07212429968285694,0.0,0.26699048219152877,0.013651324151696013,0.001241237165459274,0.0,0.0,0.0,0.0,0.00045577520351354885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008412166959380907,0.11683888116417417,0.021348892325213243,0.02900373589622707,0.118773310786597
1758362629.200886,2025-09-20T19:03:49.200886,20250920_190339,0.5194207587283093,0.07315623699042519,0.0,0.2674523571885875,0.013853159048361017,0.0012282630869524178,0.0,0.0,0.0,0.0,0.0004429765363105054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008935091256299536,0.11769944370455204,0.021047007775703067,0.029891623000933783,0.11956644840703233
1758362629.2072527,2025-09-20T19:03:49.207253,20250920_190339,0.5212498770030067,0.07389718265189761,0.0,0.27043663300253484,0.013369579132385855,0.0012465716807385022,0.0,0.0,0.0,0.0,0.0004614403065749764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008373809126919412,0.11562689623260608,0.021481161667260374,0.02893753466852249,0.11760535463558125
